match_id,result_id,date,stage,team,distance_km
400021443,151600,2026-06-11T19:00:00Z,First Stage,Mexico,107.31
400021443,151600,2026-06-11T19:00:00Z,First Stage,South Africa,97.06
400021441,151608,2026-06-12T02:00:00Z,First Stage,Korea Republic,111.81
400021441,151608,2026-06-12T02:00:00Z,First Stage,Czechia,117.63
400021449,151614,2026-06-12T19:00:00Z,First Stage,Canada,111.34
400021449,151614,2026-06-12T19:00:00Z,First Stage,Bosnia and Herzegovina,109.53
400021458,151625,2026-06-13T01:00:00Z,First Stage,USA,119.91
400021458,151625,2026-06-13T01:00:00Z,First Stage,Paraguay,114.31
400021447,151613,2026-06-13T19:00:00Z,First Stage,Qatar,109.24
400021447,151613,2026-06-13T19:00:00Z,First Stage,Switzerland,109.41
400021456,151620,2026-06-13T22:00:00Z,First Stage,Brazil,113.66
400021456,151620,2026-06-13T22:00:00Z,First Stage,Morocco,114.9
400021453,151619,2026-06-14T01:00:00Z,First Stage,Haiti,113.74
400021453,151619,2026-06-14T01:00:00Z,First Stage,Scotland,117.57
400021463,151626,2026-06-14T04:00:00Z,First Stage,Australia,116.63
400021463,151626,2026-06-14T04:00:00Z,First Stage,Türkiye,112.45
400021464,151631,2026-06-14T17:00:00Z,First Stage,Germany,116.22
400021464,151631,2026-06-14T17:00:00Z,First Stage,Curaçao,103.49
400021470,151638,2026-06-14T20:00:00Z,First Stage,Netherlands,102.94
400021470,151638,2026-06-14T20:00:00Z,First Stage,Japan,109.4
400021467,151632,2026-06-14T23:00:00Z,First Stage,Côte d'Ivoire,109.59
400021467,151632,2026-06-14T23:00:00Z,First Stage,Ecuador,108.42
400021474,151637,2026-06-15T02:00:00Z,First Stage,Sweden,111.34
400021474,151637,2026-06-15T02:00:00Z,First Stage,Tunisia,109.72
400021482,151649,2026-06-15T16:00:00Z,First Stage,Spain,115.47
400021482,151649,2026-06-15T16:00:00Z,First Stage,Cabo Verde,112.37
400021478,151643,2026-06-15T19:00:00Z,First Stage,Belgium,115.16
400021478,151643,2026-06-15T19:00:00Z,First Stage,Egypt,113.96
400021486,151650,2026-06-15T22:00:00Z,First Stage,Saudi Arabia,109.54
400021486,151650,2026-06-15T22:00:00Z,First Stage,Uruguay,110.92
400021476,151644,2026-06-16T01:00:00Z,First Stage,IR Iran,113.02
400021476,151644,2026-06-16T01:00:00Z,First Stage,New Zealand,112.9
400021490,151656,2026-06-16T19:00:00Z,First Stage,France,120.18
400021490,151656,2026-06-16T19:00:00Z,First Stage,Senegal,116.73
400021488,151655,2026-06-16T22:00:00Z,First Stage,Iraq,111.74
400021488,151655,2026-06-16T22:00:00Z,First Stage,Norway,116.26
