team_code,team_name,n_appearances_in_knockout,first_knockout_match_id,first_knockout_fixture,first_knockout_result,evidence_url,confidence
43969,Spain,5,400021519,Spain v Austria,3-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021519,high (multi-source corroborated)
43946,France,5,400021523,France v Sweden,3-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021523,high (multi-source corroborated)
43942,England,5,400021512,England v Congo DR,2-1,https://www.espn.com/soccer/match/_/gameId/760495/congo-dr-england,high (multi-source corroborated)
43922,Argentina,5,400021521,Argentina v Cabo Verde,3-2 (AET),https://www.fifa.com/en/match-centre/match/17/285023/289287/400021521,high (multi-source corroborated)
43971,Switzerland,3,400021527,Switzerland v Algeria,2-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021527,high (multi-source corroborated)
43961,Norway,3,400021514,Côte d'Ivoire v Norway,1-2,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021514,high (multi-source corroborated)
43935,Belgium,3,400021525,Belgium v Senegal,3-2 (AET),https://www.espn.com/soccer/match/_/gameId/760493/senegal-belgium,high (multi-source corroborated)
43872,Morocco,3,400021522,Netherlands v Morocco,1-1 (2-3 pens),https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/netherlands-morocco-review-highlights,high (multi-source corroborated)
43963,Portugal,2,400021526,Portugal v Croatia,2-1,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021526,high (multi-source corroborated)
43928,Paraguay,2,400021513,Germany v Paraguay,1-1 (3-4 pens),https://www.fifa.com/en/match-centre/match/17/285023/289287/400021513,high (multi-source corroborated)
43926,Colombia,2,400021517,Colombia v Ghana,1-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021517,high (multi-source corroborated)
43924,Brazil,2,400021516,Brazil v Japan,2-1,https://www.espn.com/soccer/match/_/gameId/760487,high (multi-source corroborated)
43921,USA,2,400021524,USA v Bosnia and Herzegovina,2-0,https://www.ussoccer.com/stories/2026/07/usmnt/match-recap-highlights-vs-bosnia-and-herzegovina-world-cup-round-of-32,high (multi-source corroborated)
43911,Mexico,2,400021520,Mexico v Ecuador,2-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021520,high (multi-source corroborated)
43899,Canada,2,400021518,South Africa v Canada,0-1,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021518,high (multi-source corroborated)
43855,Egypt,2,400021515,Australia v Egypt,1-1 (2-4 pens),https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/australia-egypt-match-report-highlights,high (multi-source corroborated)
44037,Bosnia and Herzegovina,1,400021524,USA v Bosnia and Herzegovina,2-0,https://www.ussoccer.com/stories/2026/07/usmnt/match-recap-highlights-vs-bosnia-and-herzegovina-world-cup-round-of-32,high (multi-source corroborated)
43976,Australia,1,400021515,Australia v Egypt,1-1 (2-4 pens),https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/australia-egypt-match-report-highlights,high (multi-source corroborated)
43970,Sweden,1,400021523,France v Sweden,3-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021523,high (multi-source corroborated)
43960,Netherlands,1,400021522,Netherlands v Morocco,1-1 (2-3 pens),https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/netherlands-morocco-review-highlights,high (multi-source corroborated)
43948,Germany,1,400021513,Germany v Paraguay,1-1 (3-4 pens),https://www.fifa.com/en/match-centre/match/17/285023/289287/400021513,high (multi-source corroborated)
43938,Croatia,1,400021526,Portugal v Croatia,2-1,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021526,high (multi-source corroborated)
43934,Austria,1,400021519,Spain v Austria,3-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021519,high (multi-source corroborated)
43927,Ecuador,1,400021520,Mexico v Ecuador,2-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021520,high (multi-source corroborated)
43883,South Africa,1,400021518,South Africa v Canada,0-1,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021518,high (multi-source corroborated)
43879,Senegal,1,400021525,Belgium v Senegal,3-2 (AET),https://www.espn.com/soccer/match/_/gameId/760493/senegal-belgium,high (multi-source corroborated)
43860,Ghana,1,400021517,Colombia v Ghana,1-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021517,high (multi-source corroborated)
43854,Côte d'Ivoire,1,400021514,Côte d'Ivoire v Norway,1-2,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021514,high (multi-source corroborated)
43850,Cabo Verde,1,400021521,Argentina v Cabo Verde,3-2 (AET),https://www.fifa.com/en/match-centre/match/17/285023/289287/400021521,high (multi-source corroborated)
43843,Algeria,1,400021527,Switzerland v Algeria,2-0,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021527,high (multi-source corroborated)
43819,Japan,1,400021516,Brazil v Japan,2-1,https://www.espn.com/soccer/match/_/gameId/760487,high (multi-source corroborated)
20014,Congo DR,1,400021512,England v Congo DR,2-1,https://www.espn.com/soccer/match/_/gameId/760495/congo-dr-england,high (multi-source corroborated)
