team_id,team_name,n_group_matches_named_in,source
43843,Algeria,3,upstream_match_list
43922,Argentina,3,upstream_match_list
43976,Australia,3,upstream_match_list
43934,Austria,3,upstream_match_list
43935,Belgium,3,upstream_match_list
44037,Bosnia and Herzegovina,3,upstream_match_list
43924,Brazil,3,upstream_match_list
43850,Cabo Verde,3,upstream_match_list
43899,Canada,3,upstream_match_list
43926,Colombia,3,upstream_match_list
20014,Congo DR,3,upstream_match_list
43938,Croatia,3,upstream_match_list
1895293,Curaçao,3,upstream_match_list
43995,Czechia,3,upstream_match_list
43854,Côte d'Ivoire,3,upstream_match_list
43927,Ecuador,3,upstream_match_list
43855,Egypt,3,upstream_match_list
43942,England,3,upstream_match_list
43946,France,3,upstream_match_list
43948,Germany,3,upstream_match_list
43860,Ghana,3,upstream_match_list
43908,Haiti,3,upstream_match_list
43817,IR Iran,3,upstream_match_list
43818,Iraq,3,upstream_match_list
43819,Japan,3,upstream_match_list
43820,Jordan,3,upstream_match_list
43822,Korea Republic,3,upstream_match_list
43911,Mexico,3,upstream_match_list
43872,Morocco,3,upstream_match_list
43960,Netherlands,3,upstream_match_list
43978,New Zealand,3,upstream_match_list
43961,Norway,3,upstream_match_list
43914,Panama,3,upstream_match_list
43928,Paraguay,3,upstream_match_list
43963,Portugal,3,upstream_match_list
43834,Qatar,3,upstream_match_list
43835,Saudi Arabia,3,upstream_match_list
43967,Scotland,3,upstream_match_list
43879,Senegal,3,upstream_match_list
43883,South Africa,3,upstream_match_list
43969,Spain,3,upstream_match_list
43970,Sweden,3,upstream_match_list
43971,Switzerland,3,upstream_match_list
43888,Tunisia,3,upstream_match_list
43972,Türkiye,3,upstream_match_list
43921,USA,3,upstream_match_list
43930,Uruguay,3,upstream_match_list
44005,Uzbekistan,3,upstream_match_list
