player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Achref Abada,Algeria,Algeria,DF,26,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adil Boulbina,Algeria,Algeria,FW,23,2003,,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,10.0,5.3,,0,2,10.0,2,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Amine Gouiri,Algeria,Algeria,FW,26,2000,Marseille,4,3,251.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,3.0,2.0,66.7,1.08,0.72,0.33,0.5,63.0,69.7,73.0,0,1,33.0,0,1.0,4.0,5.0,-1.0,-0.36,2.12,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Anis Hadj Moussa,Algeria,Algeria,MF,24,2002,Feyenoord,3,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.84,0.0,0.0,,33.0,27.2,63.0,0,2,18.0,1,1.0,1.0,2.0,-1.0,-0.92,0.11,0.0,0.0,2.0,0.0,5.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Aïssa Mandi,Algeria,Algeria,DF,34,1991,Lille,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,4,0,,0,1.0,5.0,9.0,-4.0,-1.0,,0.0,0.0,5.0,0.0,0.0,4.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Fares Chaïbi,Algeria,Algeria,MF,23,2002,Frankfurt,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,33.3,2.25,0.75,0.0,0.0,90.0,100.0,90.0,4,0,,0,1.0,5.0,9.0,-4.0,-1.0,,0.0,3.0,2.0,1.0,6.0,3.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
Farés Ghedjemis,Algeria,Algeria,"FW,MF",23,2002,Frosinone,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.3,,0,1,1.0,3,1.0,0.0,1.0,-1.0,-90.0,-89.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Hicham Boudaoui,Algeria,Algeria,MF,26,1999,Nice,3,2,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,43.0,35.6,54.0,0,1,20.0,1,1.0,0.0,3.0,-3.0,-2.11,-1.72,0.0,4.0,1.0,0.0,1.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Houssem Aouar,Algeria,Algeria,MF,27,1998,Al-Ittihad,3,2,173.0,1.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,0.0,1.04,3.0,1.0,33.3,1.56,0.52,0.0,0.0,58.0,48.1,73.0,0,1,27.0,1,0.33,2.0,5.0,-3.0,-1.56,-1.08,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ibrahim Maza,Algeria,Algeria,"MF,FW",20,2005,Leverkusen,4,4,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,27.3,2.82,0.77,0.0,0.0,88.0,97.5,88.0,3,0,,0,1.0,5.0,9.0,-4.0,-1.03,-1.03,0.0,1.0,5.0,0.0,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Jaouen Hadjam,Algeria,Algeria,DF,23,2003,Young Boys,3,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.83,0.0,0.0,,36.0,30.3,70.0,0,2,20.0,1,1.33,2.0,2.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Luca Zidane,Algeria,Algeria,GK,28,1998,Granada,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,75.0,90.0,3,0,,1,1.0,2.0,6.0,-4.0,-1.33,-1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,3.0,270.0,6.0,2.0,14.0,8.0,57.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Melvin Mastil,Algeria,Algeria,GK,26,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Amine Tougai,Algeria,Algeria,DF,26,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Amoura,Algeria,Algeria,"FW,MF",26,2000,Wolfsburg,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,27.0,7.5,,0,1,27.0,0,0.0,0.0,1.0,-1.0,-3.33,-2.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nabil Bentaleb,Algeria,Algeria,MF,31,1994,Lille,4,3,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,,71.0,79.2,80.0,1,1,45.0,0,1.0,5.0,8.0,-3.0,-0.95,0.25,0.0,2.0,3.0,0.0,3.0,3.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Nadhir Benbouali,Algeria,Algeria,FW,26,2000,Győr,1,0,45.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,100.0,4.0,4.0,0.5,0.5,45.0,12.5,,0,1,45.0,2,3.0,2.0,0.0,2.0,4.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
