Date,Round,MatchID,HomeTeam,AwayTeam,HomeFoulsCommitted,AwayFoulsCommitted,FoulsCommitted
2026-07-09,Quarter-final,400021536,France,Morocco,10,13,23
2026-06-21,First Stage,400021475,Tunisia,Japan,8,15,23
2026-07-02,Round of 32,400021524,USA,Bosnia and Herzegovina,7,13,20
2026-06-26,First Stage,400021459,Türkiye,USA,13,13,26
2026-06-21,First Stage,400021487,Uruguay,Cabo Verde,11,4,15
2026-06-22,First Stage,400021480,New Zealand,Egypt,14,8,22
2026-06-25,First Stage,400021444,Czechia,Mexico,9,13,22
2026-07-03,Round of 32,400021515,Australia,Egypt,12,14,26
2026-06-20,First Stage,400021460,Türkiye,Paraguay,14,15,29
2026-06-25,First Stage,400021473,Tunisia,Netherlands,11,10,21
2026-07-11,Quarter-final,400021539,Norway,England,10,8,18
2026-06-23,First Stage,400021511,Panama,Croatia,19,12,31
2026-07-06,Round of 16,400021531,Mexico,England,14,7,21
2026-06-26,First Stage,400021461,Paraguay,Australia,9,6,15
2026-06-20,First Stage,400021469,Germany,Côte d'Ivoire,5,7,12
