Date,Round,MatchID,HomeTeam,AwayTeam,HomeFoulsCommitted,AwayFoulsCommitted,FoulsCommitted
2026-07-09,Quarter-final,400021536,France,Morocco,10,13,23
2026-06-21,First Stage,400021475,Tunisia,Japan,8,15,23
2026-07-02,Round of 32,400021524,USA,Bosnia and Herzegovina,7,13,20
2026-06-26,First Stage,400021459,Türkiye,USA,13,13,26
2026-06-21,First Stage,400021487,Uruguay,Cabo Verde,11,4,15
2026-06-22,First Stage,400021480,New Zealand,Egypt,14,8,22
2026-06-25,First Stage,400021444,Czechia,Mexico,9,13,22
2026-07-03,Round of 32,400021515,Australia,Egypt,12,14,26
2026-06-20,First Stage,400021460,Türkiye,Paraguay,14,15,29
2026-06-25,First Stage,400021473,Tunisia,Netherlands,11,10,21
2026-07-11,Quarter-final,400021539,Norway,England,10,8,18
2026-06-23,First Stage,400021511,Panama,Croatia,19,12,31
2026-07-06,Round of 16,400021531,Mexico,England,14,7,21
2026-06-26,First Stage,400021461,Paraguay,Australia,9,6,15
2026-06-20,First Stage,400021469,Germany,Côte d'Ivoire,5,7,12
2026-07-04,Round of 16,400021530,Canada,Morocco,24,14,38
2026-07-19,Final,400021543,Spain,Argentina,21,25,46
2026-07-01,Round of 32,400021525,Belgium,Senegal,22,12,34
2026-06-16,First Stage,400021488,Iraq,Norway,12,13,25
2026-07-15,Semi-final,400021540,England,Argentina,11,15,26
2026-06-27,First Stage,400021509,Croatia,Ghana,9,13,22
2026-07-02,Round of 32,400021519,Spain,Austria,8,15,23
2026-06-27,First Stage,400021508,Panama,England,16,13,29
2026-06-23,First Stage,400021503,Portugal,Uzbekistan,14,15,29
2026-06-23,First Stage,400021491,Norway,Senegal,13,5,18
2026-06-22,First Stage,400021494,Argentina,Austria,13,13,26
2026-07-02,Round of 32,400021526,Portugal,Croatia,6,12,18
2026-07-03,Round of 32,400021521,Argentina,Cabo Verde,13,12,25
2026-06-24,First Stage,400021448,Bosnia and Herzegovina,Qatar,9,14,23
2026-06-21,First Stage,400021483,Spain,Saudi Arabia,10,2,12
2026-06-14,First Stage,400021467,Côte d'Ivoire,Ecuador,10,13,23
2026-06-12,First Stage,400021449,Canada,Bosnia and Herzegovina,10,20,30
2026-06-20,First Stage,400021472,Netherlands,Sweden,9,12,21
2026-06-27,First Stage,400021505,Colombia,Portugal,12,6,18
2026-06-17,First Stage,400021498,Austria,Jordan,12,7,19
