match_id,match_number,date,stage,team,opponent,side,goals_for,goals_against,result,won,shots,shots_on_target,possession_pct,passes,passes_completed,yellow_cards,red_cards,fouls,corners,source_url,shot_accuracy_pct,pass_accuracy_pct,phase
400021443,1,2026-06-12,Group A,South Africa,Mexico,Away,0,2,Loss,0,3,2,36,351,290,2,2,11,1,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021443,66.67,82.62,Group stage
400021443,1,2026-06-12,Group A,Mexico,South Africa,Home,2,0,Win,1,16,4,57,547,495,1,1,12,3,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021443,25.0,90.49,Group stage
400021441,2,2026-06-12,Group A,Czechia,Korea Republic,Away,1,2,Loss,0,7,4,34,327,241,0,0,16,5,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021441,57.14,73.7,Group stage
400021441,2,2026-06-12,Group A,Korea Republic,Czechia,Home,2,1,Win,1,15,6,55,542,483,1,0,9,4,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021441,40.0,89.11,Group stage
400021449,3,2026-06-13,Group B,Bosnia and Herzegovina,Canada,Away,1,1,Draw,0,8,3,29,279,186,3,0,20,4,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449,37.5,66.67,Group stage
400021449,3,2026-06-13,Group B,Canada,Bosnia and Herzegovina,Home,1,1,Draw,0,13,4,52,412,316,2,0,10,9,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449,30.77,76.7,Group stage
400021458,4,2026-06-13,Group D,Paraguay,USA,Away,1,4,Loss,0,9,1,28,316,234,5,0,17,1,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021458,11.11,74.05,Group stage
400021458,4,2026-06-13,Group D,USA,Paraguay,Home,4,1,Win,1,16,6,59,602,520,1,0,13,3,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021458,37.5,86.38,Group stage
400021453,5,2026-06-14,Group C,Scotland,Haiti,Away,1,0,Win,1,9,2,40,397,324,3,0,21,3,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453,22.22,81.61,Group stage
400021453,5,2026-06-14,Group C,Haiti,Scotland,Home,0,1,Loss,0,15,2,51,431,378,1,0,23,4,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453,13.33,87.7,Group stage
400021463,6,2026-06-14,Group D,Türkiye,Australia,Away,0,2,Loss,0,30,7,62,722,663,1,0,4,8,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463,23.33,91.83,Group stage
400021463,6,2026-06-14,Group D,Australia,Türkiye,Home,2,0,Win,1,9,4,27,293,224,0,0,12,5,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021463,44.44,76.45,Group stage
400021456,7,2026-06-14,Group C,Morocco,Brazil,Away,1,1,Draw,0,14,3,45,503,431,0,0,14,2,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021456,21.43,85.69,Group stage
400021456,7,2026-06-14,Group C,Brazil,Morocco,Home,1,1,Draw,0,12,5,46,514,457,2,0,16,6,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021456,41.67,88.91,Group stage
400021447,8,2026-06-14,Group B,Switzerland,Qatar,Away,1,1,Draw,0,26,7,58,591,542,1,0,11,10,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447,26.92,91.71,Group stage
400021447,8,2026-06-14,Group B,Qatar,Switzerland,Home,1,1,Draw,0,6,3,28,289,213,2,0,12,3,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447,50.0,73.7,Group stage
400021467,9,2026-06-15,Group E,Ecuador,Côte d'Ivoire,Away,0,1,Loss,0,12,1,49,513,438,1,0,13,5,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467,8.33,85.38,Group stage
400021467,9,2026-06-15,Group E,Côte d'Ivoire,Ecuador,Home,1,0,Win,1,15,4,41,471,413,3,0,10,3,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021467,26.67,87.69,Group stage
400021464,10,2026-06-15,Group E,Curaçao,Germany,Away,1,7,Loss,0,8,2,35,362,291,0,0,11,1,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464,25.0,80.39,Group stage
400021464,10,2026-06-15,Group E,Germany,Curaçao,Home,7,1,Win,1,26,12,57,641,569,0,0,18,8,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021464,46.15,88.77,Group stage
400021470,11,2026-06-15,Group F,Japan,Netherlands,Away,2,2,Draw,0,9,2,37,356,302,0,0,7,4,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021470,22.22,84.83,Group stage
400021470,11,2026-06-15,Group F,Netherlands,Japan,Home,2,2,Draw,0,10,6,54,529,473,3,0,7,5,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021470,60.0,89.41,Group stage
